epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,1.054551542541127124e-01,6.855891217641971180e-02,2.717520079893224505e+01,6.162715555019925295e-01
2.000000000000000000e+00,6.211374513804912567e-02,5.728926673969801653e-02,2.875933809841380295e+01,6.508287725708579163e-01
3.000000000000000000e+00,5.594668746638445378e-02,5.393914297661360491e-02,2.956366595099953898e+01,6.671099081153712973e-01
4.000000000000000000e+00,4.926066493822468806e-02,5.010263358845429976e-02,3.004596283856560035e+01,6.854843482442048996e-01
5.000000000000000000e+00,4.699488069264241147e-02,4.631126814467065311e-02,3.087142697502585165e+01,6.951419411643973145e-01
6.000000000000000000e+00,4.339274897435565354e-02,4.411382995107594740e-02,3.153731755649342361e+01,6.934429516255337100e-01
7.000000000000000000e+00,4.186575967864489961e-02,4.063813717049710728e-02,3.231165998122271077e+01,7.071016178345793657e-01
8.000000000000000000e+00,4.056187660467845679e-02,4.000307159388766243e-02,3.242213215547449323e+01,7.081159988756344781e-01
9.000000000000000000e+00,3.960605011678036691e-02,4.159665272078093279e-02,3.238825781205121501e+01,6.995089088685828571e-01
1.000000000000000000e+01,3.928563496626821805e-02,3.915734841104816233e-02,3.249786017922794201e+01,7.286291669404512117e-01
1.100000000000000000e+01,3.758602346765038682e-02,4.319267226930927073e-02,3.157431063932531146e+01,7.026819852574476277e-01
1.200000000000000000e+01,3.837065527468552090e-02,3.841255933922879673e-02,3.275828176386215773e+01,7.201526833153735208e-01
1.300000000000000000e+01,3.872081379831573272e-02,4.444781734662897610e-02,3.116124091428869036e+01,7.080763736716405576e-01
1.400000000000000000e+01,3.705139797364855742e-02,3.727114573121070862e-02,3.309468303007238177e+01,7.237294965514821099e-01
1.500000000000000000e+01,3.653358886547294904e-02,3.757987576810752767e-02,3.300487013424144322e+01,7.223993629818931117e-01
1.600000000000000000e+01,3.510556134314817001e-02,3.674896779086660181e-02,3.326174702363855573e+01,7.161951610040554472e-01
1.700000000000000000e+01,3.532860562619236089e-02,3.644488521796815372e-02,3.327646277932559826e+01,7.213230023542772651e-01
1.800000000000000000e+01,3.439296999325355125e-02,3.803694478290922665e-02,3.285783717211555199e+01,7.279629924586271672e-01
1.900000000000000000e+01,3.443448238626674318e-02,3.671516412321258749e-02,3.316054647109087483e+01,7.135612395554759013e-01
2.000000000000000000e+01,3.516659783314407539e-02,3.753601299489245369e-02,3.320760872784782691e+01,7.224969037725612608e-01
2.100000000000000000e+01,3.453077252862261914e-02,3.708718684228027446e-02,3.299586599013384358e+01,7.169847617258638950e-01
2.200000000000000000e+01,3.326519506259097148e-02,3.589033045093802804e-02,3.341954141504623976e+01,7.172917898909828560e-01
2.300000000000000000e+01,3.283331245413900756e-02,3.662810502026010717e-02,3.322375645357019636e+01,7.274443659560133613e-01
2.400000000000000000e+01,3.286966757365950703e-02,3.837595419848666145e-02,3.279773347518023030e+01,7.071575360119162212e-01
2.500000000000000000e+01,3.334667825680456138e-02,3.588626095477272238e-02,3.340950045866124896e+01,7.289961763096886038e-01
2.600000000000000000e+01,3.203000899772217441e-02,3.633532629293553806e-02,3.337039521161247535e+01,7.201289763277577416e-01
2.700000000000000000e+01,3.210880161251550985e-02,3.857001782778431143e-02,3.238452686982996198e+01,7.321318762836501737e-01
2.800000000000000000e+01,3.321428028981626701e-02,3.696729702984585808e-02,3.318398868336397101e+01,7.269449524122885142e-01
2.900000000000000000e+01,3.218369258360730123e-02,3.650911952204564243e-02,3.322675155190860607e+01,7.181300954833800265e-01
3.000000000000000000e+01,3.112283303045932162e-02,3.545958159820122163e-02,3.350658966513240955e+01,7.179768048509790335e-01
3.100000000000000000e+01,3.084350294537014509e-02,3.572188136989579155e-02,3.347123471428366059e+01,7.146204547459695799e-01
3.200000000000000000e+01,3.092501518305069280e-02,3.707103869494270121e-02,3.326618116042192952e+01,7.200218383931991095e-01
3.300000000000000000e+01,3.117205753324576306e-02,3.664875014082474153e-02,3.314306001102222865e+01,7.187542505290354100e-01
3.400000000000000000e+01,3.064027226265565729e-02,3.585560137734693925e-02,3.335979091419893194e+01,7.325837238598319479e-01
3.500000000000000000e+01,3.058036791597619486e-02,3.606498783783001344e-02,3.335632178362678246e+01,7.223298210045649981e-01
3.600000000000000000e+01,3.051876141057338274e-02,3.622724214459166481e-02,3.331417151058421666e+01,7.216371692283269912e-01
3.700000000000000000e+01,2.910616022339205730e-02,3.531455155462026596e-02,3.354903524062212483e+01,7.293306676985066295e-01
3.800000000000000000e+01,2.862274574322833109e-02,3.566131461411714554e-02,3.348376195571001546e+01,7.194553592970124312e-01
3.900000000000000000e+01,2.855175158675805902e-02,3.530523301485706533e-02,3.354758296293370989e+01,7.273637946443893831e-01
4.000000000000000000e+01,2.830066684817458475e-02,3.566800096236607404e-02,3.348542516371782796e+01,7.268757104939120861e-01
4.100000000000000000e+01,2.863486464146846461e-02,3.685043297488899833e-02,3.325974363439223680e+01,7.233612989381360547e-01
4.200000000000000000e+01,2.878102458967470717e-02,3.543932692093007542e-02,3.350984932394588611e+01,7.307272209059486601e-01
4.300000000000000000e+01,2.808640070581509829e-02,3.563860655926606030e-02,3.344901342952952916e+01,7.204955997393593936e-01
4.400000000000000000e+01,2.812509672187360824e-02,3.700847266351475762e-02,3.310875488730037830e+01,7.147021498461300082e-01
4.500000000000000000e+01,2.816391331546100676e-02,3.556692775558022851e-02,3.349244869456571649e+01,7.223293495447796753e-01
4.600000000000000000e+01,2.759262646927877760e-02,3.548665174885707457e-02,3.349386641558479027e+01,7.287940916920317980e-01
4.700000000000000000e+01,2.743855841963747239e-02,3.555602098212522905e-02,3.347478630963493629e+01,7.280389114698356812e-01
