epoch,train_loss,val_loss,psnr,ssim,lr,epoch_time_s
1.000000000000000000e+00,8.666693444487247322e-02,6.860873503750891667e-02,5.127630022901985285e+01,7.635611635397552277e-01,5.000000000000000104e-04,5.558328390121459961e+00
2.000000000000000000e+00,6.699611477837165430e-02,6.181603670120239258e-02,5.467772433985417990e+01,7.828440627691167775e-01,5.000000000000000104e-04,5.742292165756225586e+00
3.000000000000000000e+00,6.425867535227494654e-02,6.149593220284236411e-02,5.502509253228728880e+01,7.841163973512661478e-01,5.000000000000000104e-04,6.049889802932739258e+00
4.000000000000000000e+00,6.289823731562584064e-02,5.913412638345555417e-02,5.514188658172760427e+01,7.934621913251681535e-01,5.000000000000000104e-04,5.957412004470825195e+00
5.000000000000000000e+00,6.060189455900751032e-02,5.823722631488013890e-02,5.536871224791560309e+01,7.996352827850843337e-01,5.000000000000000104e-04,5.567813158035278320e+00
6.000000000000000000e+00,6.101929446163550236e-02,5.734248197258417362e-02,5.577010358877517149e+01,8.001722613268218431e-01,5.000000000000000104e-04,6.243674516677856445e+00
7.000000000000000000e+00,5.936151687802415644e-02,5.600641396402114558e-02,5.595129847885975494e+01,8.064740698143133546e-01,5.000000000000000104e-04,6.387490749359130859e+00
8.000000000000000000e+00,5.880788706802023147e-02,5.859291070519979244e-02,5.581963578420667460e+01,7.948593822606723203e-01,5.000000000000000104e-04,5.644631862640380859e+00
9.000000000000000000e+00,5.797843823452525358e-02,5.746833594450399818e-02,5.556547639357983570e+01,8.018749308293419142e-01,5.000000000000000104e-04,5.612287759780883789e+00
1.000000000000000000e+01,5.805201447144809485e-02,5.567953677557820752e-02,5.630988658732505314e+01,8.103418864871012595e-01,5.000000000000000104e-04,5.976296663284301758e+00
1.100000000000000000e+01,5.739884125978091806e-02,5.718217947375234950e-02,5.455946168947459540e+01,8.071060826550204848e-01,5.000000000000000104e-04,5.511459589004516602e+00
1.200000000000000000e+01,5.602853179345518297e-02,5.420920140479677102e-02,5.708024460107237985e+01,8.129965968440545643e-01,5.000000000000000104e-04,6.220561265945434570e+00
1.300000000000000000e+01,5.518135575449356622e-02,5.291554357987552498e-02,5.750297737121582031e+01,8.178427446325019501e-01,5.000000000000000104e-04,5.597687005996704102e+00
1.400000000000000000e+01,5.545316350178262910e-02,5.401115170001384580e-02,5.684817176128751726e+01,8.143147014630012226e-01,5.000000000000000104e-04,7.172481536865234375e+00
1.500000000000000000e+01,5.524865040921234094e-02,5.465684374373162846e-02,5.669025959800835324e+01,8.126443565475647279e-01,5.000000000000000104e-04,5.543452024459838867e+00
1.600000000000000000e+01,5.463753948476306882e-02,5.429594709196282343e-02,5.683829488706349053e+01,8.152416983166260733e-01,5.000000000000000104e-04,5.674456834793090820e+00
