epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,1.640488825738430079e-01,1.370765051245689259e-01,2.263084487915039134e+01,4.595108243251165292e-01
2.000000000000000000e+00,8.125728766123453684e-02,8.998048484325409102e-02,2.514400886535644375e+01,5.925820676533817277e-01
3.000000000000000000e+00,6.101325427492459291e-02,7.741502612829208319e-02,2.599490531921386705e+01,6.050819741269953811e-01
4.000000000000000000e+00,5.454952170451481813e-02,7.250822171568870045e-02,2.623997528076171903e+01,6.047971668811380486e-01
5.000000000000000000e+00,5.185411606604854035e-02,6.987625420093536432e-02,2.654865364074706946e+01,6.257290861133937288e-01
6.000000000000000000e+00,5.037183255578080859e-02,6.767202422022819408e-02,2.671226196289062571e+01,6.218296158971428067e-01
7.000000000000000000e+00,4.964056825265288075e-02,6.675166010856628529e-02,2.682176773071289233e+01,6.365007146629305668e-01
8.000000000000000000e+00,4.876176621764898023e-02,6.470219194889068048e-02,2.713707015991210980e+01,6.348653737966628574e-01
9.000000000000000000e+00,4.696720022087295943e-02,6.346081525087356179e-02,2.726547470092773295e+01,6.429425885539711283e-01
1.000000000000000000e+01,4.481759608412782397e-02,6.028352931141853221e-02,2.783417549133300639e+01,6.476864887750113375e-01
1.100000000000000000e+01,4.416287075728177886e-02,5.804131954908370999e-02,2.818614120483398366e+01,6.521819234110461938e-01
1.200000000000000000e+01,4.167322174956401143e-02,5.792210444808006120e-02,2.845105659484863381e+01,6.491924829425327337e-01
1.300000000000000000e+01,4.023539296661814146e-02,5.477599412202835416e-02,2.919494171142578054e+01,6.516943991807500058e-01
1.400000000000000000e+01,3.920290895427266942e-02,5.159010797739028986e-02,2.995441955566406378e+01,6.590352834230888135e-01
1.500000000000000000e+01,3.801532232513030185e-02,5.124737471342086931e-02,2.983377883911132855e+01,6.495182795013075827e-01
1.600000000000000000e+01,3.678600937128066739e-02,5.080287501215934726e-02,3.018833831787109290e+01,6.552816825835554582e-01
1.700000000000000000e+01,3.740106833477815224e-02,4.961153700947761730e-02,3.035112800598144389e+01,6.598607951625308221e-01
1.800000000000000000e+01,3.683747003475824899e-02,4.810605704784393089e-02,3.076668060302734276e+01,6.724798021458378017e-01
1.900000000000000000e+01,3.577747025216618942e-02,4.780045837163925115e-02,3.081270202636718736e+01,6.670293244174724245e-01
2.000000000000000000e+01,3.449049085999528891e-02,4.593319907784462058e-02,3.123818916320800909e+01,6.781074144508542068e-01
2.100000000000000000e+01,3.365141122291485237e-02,4.615985035896301436e-02,3.139866386413574162e+01,6.792770154042960806e-01
2.200000000000000000e+01,3.329924996942281584e-02,4.531428918242454834e-02,3.146129631042480312e+01,6.773260983900124543e-01
2.300000000000000000e+01,3.246966249619921002e-02,4.549049094319343456e-02,3.136663246154785156e+01,6.842051618658804291e-01
2.400000000000000000e+01,3.309509605169295987e-02,4.487819910049438421e-02,3.158350120544433537e+01,6.830352236219929818e-01
2.500000000000000000e+01,3.239073536048332758e-02,4.557591244578361456e-02,3.142522071838378750e+01,6.841731852932906310e-01
2.600000000000000000e+01,3.269791960095366073e-02,4.485135525465011597e-02,3.170855232238769617e+01,6.704771600896983763e-01
2.700000000000000000e+01,3.175800923878947801e-02,4.382058098912239297e-02,3.183305870056152287e+01,6.879550429277386803e-01
2.800000000000000000e+01,3.119913761814435346e-02,4.386401519179344149e-02,3.180592491149902301e+01,6.761268043089331270e-01
2.900000000000000000e+01,3.095967136323451996e-02,4.272632703185081510e-02,3.189178588867187614e+01,6.893233929598961973e-01
3.000000000000000000e+01,3.085727946211894515e-02,4.245067626237869485e-02,3.196687858581542940e+01,6.916126750091496911e-01
