epoch,train_loss,val_loss,psnr,ssim,lr,epoch_time_s
1.000000000000000000e+00,1.138603580390071535e-01,7.174435841977297446e-02,5.104657991687257379e+01,7.426790346482534666e-01,1.000000000000000048e-04,6.432470083236694336e+00
2.000000000000000000e+00,6.955508947494953853e-02,6.500379905928319046e-02,5.230292332711531600e+01,7.715664166201522400e-01,1.000000000000000048e-04,6.657126426696777344e+00
3.000000000000000000e+00,6.551776797283835607e-02,6.253934374556469056e-02,5.432640256833790460e+01,7.782904930429062063e-01,1.000000000000000048e-04,5.390288591384887695e+00
4.000000000000000000e+00,6.337346153416099914e-02,6.236971540367183819e-02,5.415882326250699208e+01,7.826418053656251095e-01,1.000000000000000048e-04,5.324662923812866211e+00
5.000000000000000000e+00,6.156762163293569984e-02,5.816533030876562538e-02,5.589160577016858866e+01,7.946754931494179885e-01,1.000000000000000048e-04,6.102991819381713867e+00
6.000000000000000000e+00,6.118135486575339288e-02,5.805520915505874013e-02,5.603353162027483592e+01,7.955957688791980287e-01,1.000000000000000048e-04,5.453102588653564453e+00
7.000000000000000000e+00,5.944761413341925760e-02,5.925048820337458499e-02,5.556964235928789719e+01,7.941015367810648762e-01,1.000000000000000048e-04,5.427838325500488281e+00
8.000000000000000000e+00,5.916422195081720570e-02,5.723847714650571322e-02,5.631256279873488779e+01,7.989402841470715222e-01,1.000000000000000048e-04,6.145389318466186523e+00
9.000000000000000000e+00,5.811498965780879933e-02,6.047997567521867096e-02,5.454268799594898098e+01,7.938430966169498504e-01,1.000000000000000048e-04,5.420526266098022461e+00
1.000000000000000000e+01,5.873897193882227780e-02,5.604868221223054808e-02,5.671149107199817507e+01,8.023728619057799438e-01,1.000000000000000048e-04,5.231003046035766602e+00
1.100000000000000000e+01,5.681443860695026271e-02,5.572244549291816701e-02,5.671606361925901751e+01,8.050541295686363119e-01,1.000000000000000048e-04,5.181808710098266602e+00
1.200000000000000000e+01,5.700688877306641505e-02,5.487762930704720432e-02,5.677239653812581111e+01,8.094318040385192203e-01,1.000000000000000048e-04,5.674142122268676758e+00
1.300000000000000000e+01,5.680670127471696557e-02,5.904896557331085205e-02,5.601795324967734047e+01,7.927949737865263025e-01,1.000000000000000048e-04,5.919908285140991211e+00
1.400000000000000000e+01,5.551148542152279514e-02,5.499774760487091685e-02,5.686853625426939374e+01,8.073639186829342229e-01,1.000000000000000048e-04,5.975158452987670898e+00
1.500000000000000000e+01,5.592780141399183308e-02,5.842315454279357889e-02,5.547947942072422478e+01,7.999718584376507291e-01,1.000000000000000048e-04,6.422938346862792969e+00
1.600000000000000000e+01,5.539297656312140716e-02,5.496757305297420015e-02,5.703800849339470602e+01,8.084015262029795590e-01,1.000000000000000048e-04,5.359640836715698242e+00
1.700000000000000000e+01,5.421948828040511897e-02,5.387255961271985444e-02,5.703637774865232046e+01,8.134046091505540144e-01,1.000000000000000048e-04,5.794565677642822266e+00
1.800000000000000000e+01,5.424784407218705834e-02,5.501776158659901772e-02,5.658622647769487202e+01,8.106125953789499183e-01,1.000000000000000048e-04,5.538252115249633789e+00
1.900000000000000000e+01,5.489855618785611374e-02,5.475870063107217411e-02,5.700410115419320789e+01,8.082674760632645450e-01,1.000000000000000048e-04,5.811946630477905273e+00
2.000000000000000000e+01,5.381608842455715830e-02,5.478312183714392075e-02,5.705694932793851848e+01,8.098384814889580952e-01,1.000000000000000048e-04,5.452753782272338867e+00
2.100000000000000000e+01,5.432308798336173833e-02,5.564692266397739534e-02,5.650193849879892838e+01,8.087383228686774173e-01,1.000000000000000048e-04,5.503595590591430664e+00
2.200000000000000000e+01,5.312561397684809061e-02,5.182316304001975682e-02,5.781285805438631087e+01,8.193568426824523465e-01,1.000000000000000048e-04,5.530760526657104492e+00
2.300000000000000000e+01,5.281015988611611339e-02,5.521106723714713782e-02,5.644821446864449399e+01,8.093031490518612925e-01,1.000000000000000048e-04,5.469254732131958008e+00
2.400000000000000000e+01,5.357995632373539069e-02,5.203615769219757659e-02,5.780660125119003112e+01,8.191555366134665173e-01,1.000000000000000048e-04,5.436111211776733398e+00
2.500000000000000000e+01,5.278523666028005906e-02,5.280370860543083522e-02,5.747881276883072843e+01,8.172392664977433663e-01,1.000000000000000048e-04,5.467319965362548828e+00
2.600000000000000000e+01,5.236153615464409633e-02,5.274070597174179698e-02,5.756383892040156525e+01,8.179711219685210644e-01,1.000000000000000048e-04,5.524980068206787109e+00
2.700000000000000000e+01,5.331933593333441218e-02,5.337066345628182357e-02,5.701954253115246729e+01,8.160398806085908952e-01,1.000000000000000048e-04,6.664418220520019531e+00
2.800000000000000000e+01,5.331254948814995870e-02,5.308255661821844468e-02,5.738599025783826590e+01,8.169109487324798247e-01,5.000000000000000240e-05,5.623102188110351562e+00
2.900000000000000000e+01,5.075787747506615294e-02,5.259490215299117422e-02,5.752241435602082475e+01,8.195540255524322859e-01,5.000000000000000240e-05,5.396184921264648438e+00
3.000000000000000000e+01,5.023722422576269026e-02,5.131263783828696884e-02,5.800349707100259877e+01,8.221749523819186223e-01,5.000000000000000240e-05,5.554212331771850586e+00
3.100000000000000000e+01,4.941592597520363950e-02,5.192698261246609520e-02,5.760867692956972519e+01,8.212239404642681651e-01,5.000000000000000240e-05,6.388604640960693359e+00
3.200000000000000000e+01,4.870421282434022475e-02,5.125120903678875156e-02,5.811775828605919969e+01,8.222557272974316822e-01,5.000000000000000240e-05,5.542737007141113281e+00
3.300000000000000000e+01,4.908645401143096887e-02,5.171832899052893062e-02,5.784928854745836446e+01,8.216715440135535786e-01,5.000000000000000240e-05,5.532995700836181641e+00
3.400000000000000000e+01,4.812298410352920663e-02,5.212469294143082243e-02,5.757170246833533156e+01,8.212798110679252472e-01,5.000000000000000240e-05,6.687595129013061523e+00
3.500000000000000000e+01,4.790193412188758354e-02,5.187613726710554179e-02,5.770575624973929507e+01,8.217575562865444549e-01,5.000000000000000240e-05,5.625377893447875977e+00
3.600000000000000000e+01,4.752177511555318035e-02,5.199631415869123557e-02,5.744629698901919568e+01,8.220539128180185395e-01,5.000000000000000240e-05,5.675446987152099609e+00
3.700000000000000000e+01,4.738864014719642442e-02,5.098942536205502279e-02,5.807599349477182926e+01,8.246380742003958098e-01,5.000000000000000240e-05,5.465651750564575195e+00
3.800000000000000000e+01,4.713184952368348890e-02,5.188404588992871075e-02,5.771904648248873571e+01,8.219285626015047086e-01,5.000000000000000240e-05,6.096318483352661133e+00
3.900000000000000000e+01,4.686966786526702844e-02,5.084209859221425210e-02,5.801254399937001693e+01,8.250345714677060904e-01,5.000000000000000240e-05,6.119482040405273438e+00
4.000000000000000000e+01,4.599540350616039552e-02,5.151378808908126800e-02,5.761287856940648311e+01,8.237075498071558810e-01,5.000000000000000240e-05,5.753790140151977539e+00
