epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,1.919871835038065855e-01,1.020522398107192030e-01,2.419682401769301450e+01,5.466998815509734877e-01
2.000000000000000000e+00,8.354027457535266599e-02,8.089815474608365309e-02,2.541347436343922439e+01,6.061167814668069198e-01
3.000000000000000000e+00,7.442824244499206265e-02,7.266066924614064670e-02,2.613403084698845191e+01,6.011184487697477374e-01
4.000000000000000000e+00,6.958176186308265287e-02,6.979967675664845717e-02,2.662102923673742083e+01,6.102685685301214580e-01
5.000000000000000000e+00,6.764853633940219602e-02,6.700032292043461846e-02,2.694526212355669870e+01,5.950760289021294058e-01
6.000000000000000000e+00,6.556902471929788867e-02,6.427180920453633151e-02,2.735041887619916068e+01,6.096428034340672930e-01
7.000000000000000000e+00,6.136117707937956134e-02,6.049176809542319150e-02,2.808341486313763724e+01,6.342105865056151259e-01
8.000000000000000000e+00,5.855967057868838310e-02,5.818855565260438317e-02,2.856023171368767066e+01,6.271178995891300012e-01
9.000000000000000000e+00,5.653844736516475816e-02,5.742411227787241890e-02,2.906418766694910261e+01,6.371734922655940547e-01
1.000000000000000000e+01,5.448239799588918547e-02,5.675159745356615770e-02,2.902154372720157482e+01,6.139038284598223871e-01
1.100000000000000000e+01,5.411665774881839475e-02,5.312193426139214664e-02,2.940985399134018863e+01,6.396867436507547300e-01
1.200000000000000000e+01,5.064985956996679445e-02,5.009717735297539859e-02,3.045459163890165399e+01,6.469481556293762425e-01
1.300000000000000000e+01,4.811091795563697537e-02,4.868710523142533858e-02,3.073372369654038394e+01,6.596660983804937262e-01
1.400000000000000000e+01,4.750194549560547014e-02,4.857522008173605771e-02,3.075046135397518299e+01,6.730793779673088784e-01
1.500000000000000000e+01,4.635354280471801897e-02,4.688997369478730554e-02,3.106287137199850790e+01,6.722479367171452225e-01
1.600000000000000000e+01,4.503412097692489902e-02,4.637550036696826833e-02,3.148937404856962274e+01,6.698496893490251125e-01
1.700000000000000000e+01,4.317037044093012532e-02,4.355751986012739579e-02,3.185425455429974662e+01,6.822047963214352695e-01
1.800000000000000000e+01,4.239946678280830106e-02,4.400755859473172438e-02,3.166873494316550008e+01,6.840502856589669722e-01
1.900000000000000000e+01,4.173898696899414062e-02,4.244752754183376414e-02,3.201656442530014601e+01,6.941417487708751999e-01
2.000000000000000000e+01,4.242397490888834277e-02,4.422827459433499586e-02,3.181683259851792300e+01,6.813926781374717301e-01
2.100000000000000000e+01,4.096476780250668526e-02,4.281738619594013112e-02,3.216035046296961042e+01,6.964214960506875940e-01
2.200000000000000000e+01,4.104517260566353798e-02,4.192226445850204264e-02,3.223127937316894531e+01,6.935564718045944543e-01
2.300000000000000000e+01,4.004444302991032323e-02,4.117149596705155928e-02,3.228921284395105573e+01,6.908242116679521594e-01
2.400000000000000000e+01,3.941847132518887242e-02,4.050570638740763618e-02,3.242811876184799758e+01,6.943088676288112771e-01
2.500000000000000000e+01,3.968069702386856079e-02,4.163655441473512048e-02,3.225465112573959914e+01,6.981861244031506430e-01
2.600000000000000000e+01,3.925835192203521590e-02,4.064563990515820957e-02,3.238441186792709914e+01,6.959976799651550472e-01
2.700000000000000000e+01,3.827872653491794924e-02,3.985174789148218655e-02,3.257728082993451579e+01,6.932193246159434885e-01
2.800000000000000000e+01,3.804938681423664093e-02,4.393771772875505049e-02,3.206272966721478923e+01,6.847331561293547031e-01
2.900000000000000000e+01,3.863653475418686589e-02,3.972604870796203613e-02,3.256893359913545538e+01,7.002095156772580875e-01
3.000000000000000000e+01,3.723549423739314079e-02,4.027722951243905419e-02,3.260805747088264184e+01,6.909002141470231839e-01
3.100000000000000000e+01,3.804452940821647505e-02,4.003090060809079420e-02,3.258664288240320417e+01,6.966898528463202345e-01
3.200000000000000000e+01,3.787599876523017883e-02,4.116036348483141649e-02,3.209677090364343854e+01,6.888510998583872169e-01
3.300000000000000000e+01,3.788790255784988542e-02,4.056177923784536760e-02,3.253079414367675781e+01,6.997826118861406597e-01
3.400000000000000000e+01,3.660754272714257518e-02,3.952378319466814949e-02,3.266032622842227795e+01,6.954320093483365994e-01
3.500000000000000000e+01,3.644699994474649707e-02,3.906931969172814517e-02,3.271867909150964948e+01,7.018179548139624746e-01
