epoch,train_loss,val_loss,psnr,ssim,lr,epoch_time_s
1.000000000000000000e+00,1.008036630984323057e-01,6.852423717927692837e-02,5.294808736638208302e+01,7.519912963209015588e-01,1.000000000000000048e-04,8.215706825256347656e+00
2.000000000000000000e+00,6.707595590452250511e-02,6.234346296469769899e-02,5.441472984198949092e+01,7.794830261609918542e-01,1.000000000000000048e-04,8.157927513122558594e+00
3.000000000000000000e+00,6.341292866087401559e-02,6.623718112557377968e-02,5.385416459318381754e+01,7.659278659810101475e-01,1.000000000000000048e-04,8.132121801376342773e+00
4.000000000000000000e+00,6.146373857819654313e-02,5.934502693576429455e-02,5.493108469517386538e+01,7.932719402793201313e-01,1.000000000000000048e-04,8.237459897994995117e+00
5.000000000000000000e+00,5.992535243666551742e-02,5.746133344706578355e-02,5.596714595813847382e+01,7.996703025259047637e-01,1.000000000000000048e-04,8.121081590652465820e+00
6.000000000000000000e+00,5.904496095898462832e-02,5.687516173301030570e-02,5.607063539782960504e+01,8.024085220954869646e-01,1.000000000000000048e-04,8.156677007675170898e+00
7.000000000000000000e+00,5.782482634467921850e-02,5.548323367034370401e-02,5.651804400688439500e+01,8.069393069943754382e-01,1.000000000000000048e-04,8.147043704986572266e+00
8.000000000000000000e+00,5.757875809444062964e-02,5.553224540535529191e-02,5.647954283287776889e+01,8.075025004693712205e-01,1.000000000000000048e-04,8.209520101547241211e+00
9.000000000000000000e+00,5.664903446189668845e-02,5.609811801257445080e-02,5.629826925268125137e+01,8.070274301090802904e-01,1.000000000000000048e-04,8.157063007354736328e+00
1.000000000000000000e+01,5.679081498290137336e-02,5.698373468227722199e-02,5.610437231207612996e+01,8.023750642369208430e-01,1.000000000000000048e-04,8.113559722900390625e+00
1.100000000000000000e+01,5.593589174906739292e-02,5.420714242374477521e-02,5.689239513454725028e+01,8.128614192263338145e-01,1.000000000000000048e-04,8.042854309082031250e+00
1.200000000000000000e+01,5.539618057312725025e-02,5.408837554517702956e-02,5.697338568145904958e+01,8.132411029365259614e-01,1.000000000000000048e-04,8.079427480697631836e+00
1.300000000000000000e+01,5.467625132322556647e-02,5.414705395923188197e-02,5.671580313677763741e+01,8.131845456099637826e-01,1.000000000000000048e-04,8.030723333358764648e+00
1.400000000000000000e+01,5.475784380291372905e-02,5.505995272691525250e-02,5.631884637190469078e+01,8.110088170331422042e-01,1.000000000000000048e-04,8.146471738815307617e+00
1.500000000000000000e+01,5.405565661369590019e-02,5.375251847894946255e-02,5.698307207960579035e+01,8.152344264926378870e-01,1.000000000000000048e-04,8.125198841094970703e+00
1.600000000000000000e+01,5.404197970617712066e-02,5.641360015575610370e-02,5.636171555638912167e+01,8.052247248891986064e-01,1.000000000000000048e-04,8.076565027236938477e+00
1.700000000000000000e+01,5.422773219086038377e-02,5.398292504438204076e-02,5.676171447523874036e+01,8.153316559938639241e-01,1.000000000000000048e-04,8.048178434371948242e+00
1.800000000000000000e+01,5.332117856222703262e-02,5.383510664854217198e-02,5.700338601347190348e+01,8.153774604100121337e-01,1.000000000000000048e-04,8.094293832778930664e+00
1.900000000000000000e+01,5.270114360340820425e-02,5.351691880268068247e-02,5.704154419060328252e+01,8.159662629560729963e-01,1.000000000000000048e-04,8.355686426162719727e+00
2.000000000000000000e+01,5.265641285973732266e-02,5.244363353929328009e-02,5.715056883270416677e+01,8.210200449797891986e-01,1.000000000000000048e-04,8.153306961059570312e+00
2.100000000000000000e+01,5.293164949745460257e-02,5.316802046856089481e-02,5.696608759050992177e+01,8.175387056509654249e-01,1.000000000000000048e-04,8.109013080596923828e+00
2.200000000000000000e+01,5.225437986764976117e-02,5.382358123684049395e-02,5.678104774436759072e+01,8.162191045892983610e-01,1.000000000000000048e-04,8.102148056030273438e+00
2.300000000000000000e+01,5.226574505833413153e-02,5.414248233539375316e-02,5.735623007922915662e+01,8.099381434104891975e-01,1.000000000000000048e-04,8.737337350845336914e+00
2.400000000000000000e+01,5.262776400668035121e-02,5.161586884952070603e-02,5.777950999964421896e+01,8.216843863547214077e-01,1.000000000000000048e-04,8.192951917648315430e+00
2.500000000000000000e+01,5.161419679302595848e-02,5.170041360148233678e-02,5.764263858507626281e+01,8.223100726988145093e-01,1.000000000000000048e-04,8.091770172119140625e+00
2.600000000000000000e+01,5.122064649752453014e-02,5.118566189878549777e-02,5.781405632939171113e+01,8.239985461949915768e-01,1.000000000000000048e-04,8.149760484695434570e+00
2.700000000000000000e+01,5.170836312675280294e-02,5.164124932720433325e-02,5.747641957345320662e+01,8.225963327485821264e-01,1.000000000000000048e-04,8.067235946655273438e+00
2.800000000000000000e+01,5.054710433269943987e-02,5.129021619582296160e-02,5.801924410297642964e+01,8.224518187374021405e-01,1.000000000000000048e-04,8.156121253967285156e+00
2.900000000000000000e+01,5.194599499192781994e-02,5.166131615563852864e-02,5.776432139909447017e+01,8.223331064252257239e-01,1.000000000000000048e-04,8.092394113540649414e+00
3.000000000000000000e+01,5.036201564650619189e-02,5.031304559366187729e-02,5.826612425569313558e+01,8.255994356193071537e-01,1.000000000000000048e-04,8.801003217697143555e+00
3.100000000000000000e+01,5.039273099811079903e-02,5.146962804860206325e-02,5.776658733885491870e+01,8.236414182290432429e-01,1.000000000000000048e-04,8.152095079421997070e+00
3.200000000000000000e+01,4.988950564461891446e-02,4.913005861804713159e-02,5.862965380606339494e+01,8.288774886582050971e-01,1.000000000000000048e-04,8.126629829406738281e+00
3.300000000000000000e+01,4.976731177346679219e-02,4.994524541736847234e-02,5.825279378651374884e+01,8.276208671459903687e-01,1.000000000000000048e-04,8.143213987350463867e+00
3.400000000000000000e+01,4.981085777527749503e-02,5.261308059620498079e-02,5.745132395490330168e+01,8.206713761003532337e-01,1.000000000000000048e-04,8.315960884094238281e+00
3.500000000000000000e+01,4.991498172957017226e-02,5.185695846176626572e-02,5.727051093710127816e+01,8.233273565219513257e-01,1.000000000000000048e-04,8.689560174942016602e+00
3.600000000000000000e+01,4.887105722099022165e-02,4.973144308855784873e-02,5.837481903191187627e+01,8.272143357312989886e-01,1.000000000000000048e-04,8.223889112472534180e+00
3.700000000000000000e+01,4.871830353388928447e-02,5.158911716548642001e-02,5.763813827744680651e+01,8.229822107539251919e-01,1.000000000000000048e-04,8.185966253280639648e+00
3.800000000000000000e+01,4.993697225986257204e-02,4.940340216809780555e-02,5.826769772246854728e+01,8.287886959608035120e-01,5.000000000000000240e-05,8.167975425720214844e+00
3.900000000000000000e+01,4.687537707748295340e-02,5.098771543508798243e-02,5.764786622512280445e+01,8.269146288805298006e-01,5.000000000000000240e-05,8.194046497344970703e+00
4.000000000000000000e+01,4.667123714184344407e-02,4.986311098439010631e-02,5.857513067350915037e+01,8.275005602704887941e-01,5.000000000000000240e-05,9.257037162780761719e+00
