epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,1.092542098076255269e-01,1.261866406044539202e-01,2.366667657739975894e+01,4.177112366878644178e-01
2.000000000000000000e+00,5.429102121679871273e-02,8.426592279882992587e-02,2.581210276659797387e+01,5.623799263880390198e-01
3.000000000000000000e+00,4.299413359919448258e-02,7.489793506615302632e-02,2.624082352133358143e+01,6.052437021552714569e-01
4.000000000000000000e+00,3.976930424938967396e-02,7.031384855508804321e-02,2.674457146139705799e+01,5.982538283936260637e-01
5.000000000000000000e+00,3.743145982792348003e-02,6.758940570494707811e-02,2.700972456090590512e+01,6.141140660418166197e-01
6.000000000000000000e+00,3.584620855564688707e-02,6.591125983087454954e-02,2.733929033840403733e+01,6.006110345858589605e-01
7.000000000000000000e+00,3.456121105930687332e-02,6.195044243598685219e-02,2.813459474900189505e+01,6.106193264182139258e-01
8.000000000000000000e+00,3.298008274057029343e-02,5.948443820371347029e-02,2.873003796970143142e+01,6.179642324490186578e-01
9.000000000000000000e+00,3.139400567261525082e-02,5.948733943788444417e-02,2.890426675011130087e+01,6.268685572441248244e-01
1.000000000000000000e+01,3.105549271689888799e-02,5.445954959620447761e-02,2.977691998201257917e+01,6.298834404573810941e-01
1.100000000000000000e+01,2.946270773486222780e-02,5.624907748664126350e-02,2.946592364591710833e+01,6.474234721143679039e-01
1.200000000000000000e+01,2.913252724173628211e-02,5.455814696410123121e-02,2.983071994781494141e+01,6.388284036507052566e-01
1.300000000000000000e+01,2.816088685052998281e-02,5.289655869059702725e-02,3.023310515459846215e+01,6.544313400301003947e-01
1.400000000000000000e+01,2.734870293442114020e-02,5.081914617296527659e-02,3.051311195597929071e+01,6.415769476042645358e-01
1.500000000000000000e+01,2.649709493795662785e-02,4.948039834990220626e-02,3.083520569520837995e+01,6.574962501292120898e-01
1.600000000000000000e+01,2.674273306066975164e-02,5.201639870510382097e-02,2.985937915128820208e+01,6.662495691899217309e-01
1.700000000000000000e+01,2.542983692277360833e-02,4.707836337825831163e-02,3.119285190806669306e+01,6.566722249560810187e-01
1.800000000000000000e+01,2.494595395286142159e-02,4.559239219216739553e-02,3.150993885713464948e+01,6.749692338174805295e-01
1.900000000000000000e+01,2.422063392989429534e-02,4.623527397565981717e-02,3.134098204444436320e+01,6.671426039964448718e-01
2.000000000000000000e+01,2.405233705347334730e-02,4.582814664086874712e-02,3.153921716353472604e+01,6.707402858154720704e-01
2.100000000000000000e+01,2.448241050458616758e-02,4.772473082822911716e-02,3.091480333664837943e+01,6.835040559186777998e-01
2.200000000000000000e+01,2.393735545100989306e-02,4.402313107515082313e-02,3.181892277212703846e+01,6.795748550919905595e-01
2.300000000000000000e+01,2.298061571509382034e-02,4.328055920846322208e-02,3.189429243873147257e+01,6.716733315437001250e-01
2.400000000000000000e+01,2.257133371852062392e-02,4.325395986876066912e-02,3.206745882595286901e+01,6.660160977574186569e-01
2.500000000000000000e+01,2.238999573904790902e-02,4.290625124293215298e-02,3.216499278124641137e+01,6.851019982645145667e-01
2.600000000000000000e+01,2.259306986758738423e-02,4.205681065864422946e-02,3.218768467622644636e+01,6.819751532709410480e-01
2.700000000000000000e+01,2.211856984613854230e-02,4.410020251046208734e-02,3.196693162357106033e+01,6.651873217316003339e-01
2.800000000000000000e+01,2.256825561692685223e-02,4.255166616948211772e-02,3.217057155160343029e+01,6.829495528684936811e-01
2.900000000000000000e+01,2.198823460918149925e-02,4.389486450921086663e-02,3.212074212466968959e+01,6.756732786675732072e-01
3.000000000000000000e+01,2.224890299049424661e-02,4.298246388926225264e-02,3.191061205022475278e+01,6.945455457466749305e-01
