epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,1.789144162088632528e-01,1.616351848840713590e-01,2.126857055664062557e+01,3.766224442364303204e-01
2.000000000000000000e+00,9.512182995676994601e-02,1.109535801410675010e-01,2.364938659667968679e+01,5.370195697216756381e-01
3.000000000000000000e+00,7.045482167353232794e-02,8.924436181783676481e-02,2.527193550109863196e+01,5.975815365576554461e-01
4.000000000000000000e+00,6.177539968242248131e-02,7.968515813350678101e-02,2.605051795959472827e+01,6.156085089742406868e-01
5.000000000000000000e+00,5.622389720131953234e-02,7.447198659181594738e-02,2.659567985534668111e+01,6.322961946045723147e-01
6.000000000000000000e+00,5.278192662323514389e-02,7.200530201196669866e-02,2.679620536804199205e+01,6.374254962793247659e-01
7.000000000000000000e+00,5.032881653557221002e-02,6.667522072792053667e-02,2.751197792053222813e+01,6.539392556709321402e-01
8.000000000000000000e+00,4.770600774014989442e-02,6.391346901655196866e-02,2.801462127685546832e+01,6.668002455020771713e-01
9.000000000000000000e+00,4.591187446688612533e-02,6.301612690091133728e-02,2.819478080749511761e+01,6.463570174918131794e-01
1.000000000000000000e+01,4.410812680919964923e-02,5.975347802042960815e-02,2.868547256469726392e+01,6.709378402063603808e-01
1.100000000000000000e+01,4.226735938961307532e-02,5.630597427487373657e-02,2.934724304199218636e+01,6.740882867253028543e-01
1.200000000000000000e+01,4.103440484032035152e-02,5.507557079195976590e-02,2.960560859680175838e+01,6.694412679200859584e-01
1.300000000000000000e+01,4.007906382903456827e-02,5.356041610240936529e-02,2.989851982116699247e+01,6.777368830259539179e-01
1.400000000000000000e+01,3.978401822969317159e-02,5.249828189611435020e-02,3.009196403503418082e+01,6.832716796811277860e-01
1.500000000000000000e+01,3.787959410498539792e-02,5.146305948495864813e-02,3.043693397521972699e+01,6.769220390012490318e-01
1.600000000000000000e+01,3.754944031437237872e-02,5.015732765197753601e-02,3.067060600280761662e+01,6.809320048465167252e-01
1.700000000000000000e+01,3.679708068569501056e-02,4.964029714465141574e-02,3.073127853393554787e+01,6.813924394033716858e-01
1.800000000000000000e+01,3.576648430898785730e-02,4.832625702023506109e-02,3.096053321838378736e+01,6.875133367812243934e-01
1.900000000000000000e+01,3.568168906494974951e-02,4.830622702836990384e-02,3.095480720520019702e+01,6.871071425395035570e-01
2.000000000000000000e+01,3.493899144232272963e-02,5.000287771224975336e-02,3.096999069213867273e+01,6.762534422779149512e-01
2.100000000000000000e+01,3.533336548134684285e-02,4.702122688293457198e-02,3.128506179809570398e+01,6.879863427615001692e-01
2.200000000000000000e+01,3.436867767013609271e-02,4.813388466835021723e-02,3.105446159362793068e+01,6.823362954847188577e-01
2.300000000000000000e+01,3.404622031375766078e-02,4.625662326812744057e-02,3.143785140991210980e+01,6.894647537096082468e-01
2.400000000000000000e+01,3.394243024910489903e-02,4.564515620470047108e-02,3.156054504394531079e+01,6.921461618653097503e-01
2.500000000000000000e+01,3.262425813203056330e-02,4.496299222111702076e-02,3.165850173950195412e+01,6.947616056908610949e-01
2.600000000000000000e+01,3.256652215495705466e-02,4.569009482860564991e-02,3.167371185302734204e+01,6.937920040943486022e-01
2.700000000000000000e+01,3.247233185296257568e-02,4.562408700585365157e-02,3.150173240661620966e+01,6.859470605691797562e-01
2.800000000000000000e+01,3.218370353182156696e-02,4.409903854131698442e-02,3.186728164672851449e+01,6.982604044861893122e-01
2.900000000000000000e+01,3.196286217619975084e-02,4.416233256459236450e-02,3.178790054321289205e+01,7.002982464004583463e-01
3.000000000000000000e+01,3.195628446216384339e-02,4.369133234024048101e-02,3.192922821044921733e+01,7.005495427469530245e-01
