epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,1.410675302147865184e-01,3.097272194348849039e-01,1.121072769165039062e+01,1.224234531576553486e-01
2.000000000000000000e+00,1.176192676027615902e-01,2.701699619109814154e-01,1.306376127096322826e+01,2.102770714093884774e-01
3.000000000000000000e+00,1.036440062026182801e-01,2.413859642468965949e-01,1.456413973294771580e+01,2.421931047061307574e-01
4.000000000000000000e+00,9.331519578893979205e-02,2.179133318937741814e-01,1.600447060511662301e+01,2.753417803876478387e-01
5.000000000000000000e+00,8.486092388629913608e-02,1.988122325677137980e-01,1.729300748384915920e+01,3.088354207622150405e-01
6.000000000000000000e+00,7.584522763888040808e-02,1.801905379845545885e-01,1.827993055490346919e+01,3.607486163716976391e-01
7.000000000000000000e+00,6.918926239013671597e-02,1.649855237740736613e-01,1.906342301001915729e+01,4.095930927629514717e-01
8.000000000000000000e+00,6.338177671035130634e-02,1.510248642701368937e-01,1.992228962824894722e+01,4.489984026990201382e-01
9.000000000000000000e+00,5.824886684616406574e-02,1.394101622012945407e-01,2.076130690941443646e+01,4.729204343983730574e-01
1.000000000000000000e+01,5.295783927043278688e-02,1.277468966749998325e-01,2.148289064260629644e+01,4.969849658700181694e-01
1.100000000000000000e+01,4.862965854505697794e-02,1.185762074131232052e-01,2.218634576063889696e+01,5.143012094383869748e-01
1.200000000000000000e+01,4.600424381593862938e-02,1.107222529558034990e-01,2.284598394540639887e+01,5.335429681743846242e-01
1.300000000000000000e+01,4.344794477025668011e-02,1.040745400465451775e-01,2.340789178701547613e+01,5.514379920467112894e-01
1.400000000000000000e+01,3.996320329606532773e-02,9.852022505723513623e-02,2.386322432297926710e+01,5.683082482071571961e-01
1.500000000000000000e+01,3.727257798115412440e-02,9.382930397987365723e-02,2.424217884357159036e+01,5.769525328474296444e-01
1.600000000000000000e+01,3.561692647635936876e-02,9.011073181262382881e-02,2.457078390855055616e+01,5.845998012325044346e-01
1.700000000000000000e+01,3.527760729193687300e-02,8.738626826267975600e-02,2.482805134699894722e+01,5.933406482170189289e-01
1.800000000000000000e+01,3.342010490596294264e-02,8.427362315929852465e-02,2.513605147141676710e+01,5.996256109443030002e-01
1.900000000000000000e+01,3.265475506583849497e-02,8.242881985811087442e-02,2.537910256019005573e+01,5.950838435995317033e-01
2.000000000000000000e+01,3.172222139934698787e-02,8.042806329635474039e-02,2.556449919480543898e+01,6.089252941376999129e-01
2.100000000000000000e+01,3.122548262278239048e-02,7.859457513460746392e-02,2.573826085604154201e+01,6.088244069715157414e-01
2.200000000000000000e+01,3.061943302551905360e-02,7.741260528564453125e-02,2.586742210388183594e+01,6.186115105933378544e-01
2.300000000000000000e+01,2.978273841241995540e-02,7.642863977413910659e-02,2.594535592886117925e+01,6.161781178393737068e-01
2.400000000000000000e+01,2.944313995540142129e-02,7.503250355903919033e-02,2.615728334280160894e+01,6.140487747731405710e-01
2.500000000000000000e+01,2.950384176025788036e-02,7.390668300481942343e-02,2.631517395606407916e+01,6.158260853904133914e-01
